id,created_at,text
837789850522775554,2017-03-03 22:20:40,"b""RT @SenSchumer: Happily talk re: my contact w Mr. Putin &amp; his associates, took place in '03 in full view of press &amp; public under oath. Woul\xe2\x80\xa6"""
837695710703267840,2017-03-03 16:06:35,"b'When we\xe2\x80\x99re #fightingforfamilies loud enough person-to-person, city-to-city, state-to-state, then DC can\xe2\x80\x99t ignore these issues any longer.'"
837695509989052416,2017-03-03 16:05:47,"b'And while the GOP continues to block #equalpay for equal work, state lawmakers are #fightingforfamilies.'"
837691556291309568,2017-03-03 15:50:05,b'Businesses that cheat their workers must be held accountable. State lawmakers are #fightingforfamilies with bills to stop wage theft.'
837691298282897408,2017-03-03 15:49:03,b'A hard day\xe2\x80\x99s work deserves a fair day\xe2\x80\x99s pay. State lawmakers across the country are #fightingforfamilies with bills to expand overtime.'
837691031558701056,2017-03-03 15:48:00,b'And Massachusetts continues to lead the way in #fightingforfamilies with earned sick time &amp; the highest state minimum wage in the country.'
837690722820231168,2017-03-03 15:46:46,b'Massachusetts has shown that #fightingforfamilies can start in states. We did it with marriage equality &amp; health care reform.'
837690333198696448,2017-03-03 15:45:13,"b'.@realDonaldTrump &amp; the GOP leadership aren\xe2\x80\x99t #fightingforfamilies with policies like raising the min wage, overtime pay or fair scheduling.'"
837158464313049088,2017-03-02 04:31:46,b'And we need Attorney General Jeff Sessions \xe2\x80\x93 who should have never been confirmed in the first place \xe2\x80\x93 to resign. We need it now.'
837158103477071873,2017-03-02 04:30:20,"b'We need a special prosecutor totally independent of the AG. We need a real, bipartisan, transparent Congressional investigation into Russia.'"
837157714195333120,2017-03-02 04:28:47,b'This is not normal. This is not fake news. This is a very real &amp; serious threat to the national security of the United States.'
837157448666447874,2017-03-02 04:27:44,b'Now Jeff Sessions is AG \xe2\x80\x93 the final say on the law enforcement investigation into ties between the Trump campaign &amp; Russia? What a farce.'
837157127311482884,2017-03-02 04:26:27,b'Jeff Sessions answered \xe2\x80\x9cNo.\xe2\x80\x9d Turns out he met with the Russian Ambassador. Two months before the election.'
837156807663628289,2017-03-02 04:25:11,"b'It\'s a simple q: ""Have you been in contact with anyone connected to any part of the Russian government about the 2016 election?""'"
836740257672482817,2017-03-01 00:49:57,"b""I'd like for you to meet my guest to the #Jointsession speech tonight: @UMassD student &amp; Iraqi refugee Tiba Faraj. https://t.co/vrkbsok6ej"""
836606791689580544,2017-02-28 15:59:37,b'I can name a zillion reasons why MA is the best \xe2\x80\x93 but our schools &amp; health care are two very good reasons. Go MA! https://t.co/U0LtDPgwSO'
836346012256059394,2017-02-27 22:43:22,"b'For any and all these reasons, today I urged my colleagues to vote NO on Wilbur Ross for @CommerceGov. https://t.co/n5KKjRI5ps'"
836345618113171457,2017-02-27 22:41:48,"b'Wilbur Ross has shady ties to Russia, serious business conflicts, &amp; a history of cheating people out of their homes.'"
836345369030193153,2017-02-27 22:40:49,b'.@CommerceGov nominee Wilbur Ross is practically a cartoon stereotype of a Wall Street fat cat with no interest in anyone but himself.'
836306142456336384,2017-02-27 20:04:56,b'.@SenMarkey &amp; I wrote to 17 agencies about whether they\xe2\x80\x99ll use Trump\xe2\x80\x99s order to cut off funding for MA services. https://t.co/fPboLE9Pqu'
836305865137393664,2017-02-27 20:03:50,b'MA pays more in taxes than we get back in federal funds. But that money is at risk because of @realDonaldTrump\xe2\x80\x99s order on local immigrants.'
836297108701528064,2017-02-27 19:29:03,b'Heading to the Senate floor now to urge my colleagues to reject Wilbur Ross\xe2\x80\x99s nomination for @CommerceGov. Watch: https://t.co/etvzEJEk7W'
