id,created_at,text
841788382829256705,2017-03-14 23:09:24,b'RT @SenBookerOffice: .@CoryBooker &amp; @SenJeffMerkley urge @Cargill @Bunge to help stop deforestation in Latin America: https://t.co/ftnl8JKD\xe2\x80\xa6'
841730419741642753,2017-03-14 19:19:05,"b'RT @SenBookerOffice: #CBO says Trumpcare will increase # of uninsured by 24 MILLION, gut Medicaid &amp; ""substantially"" increase premiums for m\xe2\x80\xa6'"
841702478936694784,2017-03-14 17:28:03,"b'RT @kylegriffin1: Chuck Schumer: ""The only winners in this CBO report are health insurance executives and the wealthiest Americans."" https:\xe2\x80\xa6'"
841515619568799744,2017-03-14 05:05:32,b'RT @GlennKesslerWP: This looks a bit awkward now given the internal WH analysis had an even higher number... https://t.co/GRzHRiXh1h'
841515464681504769,2017-03-14 05:04:56,"b'RT @ChrisMurphyCT: FYI, House GOP handpicked the CBO director. Their own guy is the one saying the bill is a humanitarian catastrophe waiti\xe2\x80\xa6'"
841480957916004353,2017-03-14 02:47:48,b'RT @SenBookerOffice: The independent budget experts are telling us in no uncertain terms: @realDonaldTrump is breaking his promises w/ #Tru\xe2\x80\xa6'
841453503109296128,2017-03-14 00:58:43,b'RT @EcoUprising2016: Fight bills to weaken Endangered Species Act in midst of 6th mass extinction @kamalaharris @corybooker SaveTheESA http\xe2\x80\xa6'
841453050392911876,2017-03-14 00:56:55,b'@NordicPhoenix thank you'
841452906578608130,2017-03-14 00:56:21,"b'@thomasincali Again, read our bill to understand important consumer protections in the legislation. Also: https://t.co/dYXnIWs3rV'"
841452203407740929,2017-03-14 00:53:33,"b'RT @TheDemocrats: Trump\xe2\x80\x99s ""insurance for everybody"" promise was a lie. https://t.co/JDcZ0n3l6U'"
841451769892864000,2017-03-14 00:51:50,"b'RT @GavinNewsom: Ryan\'s ""Act of Mercy"":\n- 24M lose coverage\n- 14M kicked off Medicaid\n- Tax break for top 2%\n- Premiums for older low-incom\xe2\x80\xa6'"
841451679333638144,2017-03-14 00:51:28,"b""RT @oppstn: Before Republicans start attacking the CBO's legitimacy, here they are praising its ObamaCare estimates: https://t.co/5FJ9fPFduq"""
841450344177627136,2017-03-14 00:46:10,b'@thomasincali Hope you will read the legislation and support our efforts. It has strong safety and will allow safer drugs.'
841450145803829248,2017-03-14 00:45:22,b'@thomasincali I voted against a non binding resolution cause of safety concerns then with Sanders wrote actual legislation to allow imports.'
841329667797860352,2017-03-13 16:46:38,b'Thanks for sharing the daylight savings time video. https://t.co/py7xaSnS1S'
841326345074421760,2017-03-13 16:33:26,"b'RT @GeorgeTakei: HHS Sec Tom Price says ""nobody"" will be worse off under #Trumpcare. Because to the GOP, if you\'re poor, elderly or uninsur\xe2\x80\xa6'"
841326179680436224,2017-03-13 16:32:46,"b'RT @GeorgeTakei: Congressman, the only race you should worry about when it comes to babies is the human race. I actually pity you, for you\xe2\x80\xa6'"
841325297496645632,2017-03-13 16:29:16,b'We should get rid of daylight savings time. Can anyone convince me otherwise? https://t.co/RcdIQpAD7A'
841324735757717506,2017-03-13 16:27:02,"b""I am grateful to read this. The most insidious threat isn't the hateful words of bad people but the silence of good\xe2\x80\xa6 https://t.co/PGIqCvcqcR"""
841083279319138304,2017-03-13 00:27:35,b'@Goaliemom3533 did you really forget? Please read to refresh: https://t.co/q4gh4SuRHu'
841082887285932032,2017-03-13 00:26:01,b'@EldoradoSan @CNN https://t.co/q4gh4SuRHu'
841082660701233152,2017-03-13 00:25:07,b'@MikeRice74 @CNN https://t.co/q4gh4SuRHu'
841067028953866240,2017-03-12 23:23:00,b'Trumpcare will:\n\xe2\x80\x93insure 15 million LESS ppl\n\xe2\x80\x93give tax breaks to rich\n\xe2\x80\x93make coverage more expensive\n\xe2\x80\x93dismantle Medicaid'
841059441839616001,2017-03-12 22:52:51,"b'Bob, if you really want to refresh on all that went into the ACA vs what is happening now: https://t.co/q4gh4SuRHu https://t.co/e0ywjqFLpL'"
841059248041787392,2017-03-12 22:52:05,"b'Can you twist history more. Dems went through a Year process, multiple hearings, Obama even held a public negotiati\xe2\x80\xa6 https://t.co/ByiAsdHjlr'"
841058269997236224,2017-03-12 22:48:12,"b'Well not sure what part prevailed. Either way, thanks for your authentic response. I hope you will read this.\xe2\x80\xa6 https://t.co/RKmManmGDw'"
841057074641567745,2017-03-12 22:43:27,"b'Thanks for speaking to Job-lock, not mentioned much but so many entrepreneurs liberated to pursue dreams because of\xe2\x80\xa6 https://t.co/XCgyP2tDuL'"
841056649255256067,2017-03-12 22:41:45,"b'Well Cynthia, I wish u the best. Sincerely, may we both grow more effective in inspiring activism, not cynicism; gr\xe2\x80\xa6 https://t.co/MRcwcwyLEq'"
841055376644685824,2017-03-12 22:36:42,b'@SpencerHaire https://t.co/J9IubOxA2O'
841040100586844164,2017-03-12 21:36:00,"b""GOP's so-called health care bill gives tax breaks to insurance execs making millions but will charge you for a lapse in coverage..."""
841007388975083520,2017-03-12 19:26:01,"b'GOP is trying to pull the rug out from under Americans, all while giving tax breaks to the rich. That makes me sick\xe2\x80\xa6 https://t.co/t45vNSkpEe'"
840982813126057984,2017-03-12 17:48:22,b'You remember correctly. Thanks. https://t.co/bCWWzBIRLX'
840982718074761217,2017-03-12 17:47:59,b'@JeannesTweeting @jaketapper https://t.co/J9IubOxA2O'
840982288150220800,2017-03-12 17:46:16,b'@WaltKostrzewski @CNNPolitics https://t.co/J9IubOxA2O'
840982122429071360,2017-03-12 17:45:37,b'@mckelvey_patti I hear you and understand your frustration. I agree we must get far more effective'
840981481946304512,2017-03-12 17:43:04,b'@gnutelephony Know facts: I authored actual legislation w/ Casey &amp; Sanders to import. Voted against no binding resolution with little safety'
